Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/8127|2014.8.12|涨涨APP|金融|北京|天使轮|数百万人民币|分众传媒
https://www.itjuzi.com/investevents/9660|2014.8.12|LemonAwake柠檬觉醒|本地生活|上海|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/9998|2014.8.12|北京中科虹霸|企业服务|北京|C轮|数千万人民币|中关村发展集团
https://www.itjuzi.com/investevents/6636|2014.8.11|粉粉日记|SNS社交网络|上海|A轮|1000万人民币|CA创投,乐搏资本,英诺天使基金
https://www.itjuzi.com/investevents/8289|2014.8.11|绿洲游戏Oasis Games|游戏|香港|B轮|数千万人民币|中国文化产业投资基金
https://www.itjuzi.com/investevents/9853|2014.8.11|上海爱数软件|企业服务|上海|C轮|1亿人民币|投资方未透露
https://www.itjuzi.com/investevents/10344|2014.8.11|RoboMing明机器人|硬件|上海|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/3918|2014.8.11|凹凸租车(凹凸共享租车)|汽车交通|上海|天使轮|数千万人民币|联创策源,真格基金
https://www.itjuzi.com/investevents/15375|2014.8.11|融义财富|金融|上海|A轮|数千万人民币|欧擎欣锦(欧擎集团)
https://www.itjuzi.com/investevents/8700|2014.8.9|伏牛堂|本地生活|北京|天使轮|数百万人民币|IDG资本,真格基金,险峰长青(险峰华兴)
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/9623|2014.8.9|克鲁信息路由|SNS社交网络|湖北|天使轮|500万人民币|投资方未透露
https://www.itjuzi.com/investevents/10266|2014.8.9|上海百逸动漫|文化娱乐体育|上海|A轮|数千万人民币|早鸟基金
https://www.itjuzi.com/investevents/10292|2014.8.9|宅豆家居|房产服务|广东|天使轮|数百万人民币|众诚资本
https://www.itjuzi.com/investevents/12007|2014.8.8|自游网络|游戏|广东|天使轮|数百万人民币|志成资本
https://www.itjuzi.com/investevents/14905|2014.8.8|慢农优选|电子商务|上海|天使轮|数百万人民币|险峰长青(险峰华兴)
https://www.itjuzi.com/investevents/14972|2014.8.8|和德元茶业|电子商务|广东|天使轮|数百万人民币|广州天使投资
https://www.itjuzi.com/investevents/10184|2014.8.8|欢众游戏|游戏|上海|A轮|数千万人民币|磐谷创投,信天创投
https://www.itjuzi.com/investevents/11154|2014.8.8|优朋普乐|文化娱乐体育|北京|C轮|数千万人民币|创维集团
https://www.itjuzi.com/investevents/8717|2014.8.7|携程|旅游|上海|IPO上市后|5亿美元|Priceline
https://www.itjuzi.com/investevents/15191|2014.8.7|雪人电影|文化娱乐体育|北京|天使轮|数百万人民币|华映资本
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/12362|2014.8.6|车多多|汽车交通|北京|不明确|未透露|险峰长青(险峰华兴)
https://www.itjuzi.com/investevents/12396|2014.8.6|活法儿|医疗健康|北京|天使轮|未透露|梅花天使创投
https://www.itjuzi.com/investevents/12994|2014.8.6|诸葛IO|企业服务|北京|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/14913|2014.8.6|亿乘科技|汽车交通|北京|天使轮|数百万人民币|险峰长青(险峰华兴)
https://www.itjuzi.com/investevents/7670|2014.8.6|礼我吧|电子商务|上海|天使轮|200万人民币|投资方未透露
https://www.itjuzi.com/investevents/8912|2014.8.6|包拼车|汽车交通|江苏|天使轮|200万人民币|投资方未透露
https://www.itjuzi.com/investevents/9933|2014.8.6|V助理|本地生活|浙江|种子轮|38万人民币|投资方未透露
