Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/15773|2016.3.24||文化娱乐体育|亚洲|IPO上市后|2.36亿人民币|华谊兄弟,腾讯
https://www.itjuzi.com/investevents/15748|2016.3.23||汽车交通|亚洲|C轮|未透露|Google Capital,高瓴资本Hillhouse Capital
https://www.itjuzi.com/investevents/15747|2016.3.22||教育|亚洲|A轮|7500万美元|Sofina印度红杉资本
https://www.itjuzi.com/investevents/15710|2016.3.21||企业服务|北美洲|B轮|730万美元|Foundry Group
https://www.itjuzi.com/investevents/15687|2016.3.18||文化娱乐体育|北美洲|C轮|4亿美元|枫叶影业
https://www.itjuzi.com/investevents/15690|2016.3.18||SNS社交网络|北美洲|不明确|1400万美元|Sozo Ventures
https://www.itjuzi.com/investevents/15693|2016.3.18||工具软件|北美洲|A轮|650万美元|Polaris Partners鸟羽资本
https://www.itjuzi.com/investevents/15689|2016.3.18||企业服务|欧洲|B轮|3600万美元|PartechVenturesFinnish Industry InvestmentDraper Esprit
https://www.itjuzi.com/investevents/15695|2016.3.18||工具软件|欧洲|不明确|500万美元|NetSol Technologies
https://www.itjuzi.com/investevents/15691|2016.3.18||汽车交通|欧洲|A轮|600万欧元|NorthzoneCreandumHR Ventures
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/15622|2016.3.17||企业服务|北美洲|B轮|1450万美元|Menlo VenturesA16Z;CRV
https://www.itjuzi.com/investevents/15621|2016.3.17||硬件|北美洲|C轮|6120万美元|KleinerPerkins Caufield Byers
https://www.itjuzi.com/investevents/15624|2016.3.17||金融|亚洲|A轮|500万美元|Global Founders CapitalFullerton Finacial Holdings
https://www.itjuzi.com/investevents/15596|2016.3.16||工具软件|亚洲|A轮|1120万美元|红杉资本中国光速创投
https://www.itjuzi.com/investevents/15594|2016.3.16||医疗健康|北美洲|B轮|2550万美元|Arlon Group;Greenmont Capital Partners
https://www.itjuzi.com/investevents/15595|2016.3.16||医疗健康|北美洲|C轮|700万美元|HicksEquity Partners
https://www.itjuzi.com/investevents/15593|2016.3.16||企业服务|北美洲|C轮|3000万美元|Google VenturesCisco Ventures
https://www.itjuzi.com/investevents/15548|2016.3.15||文化娱乐体育|北美洲|A轮|1250万美元|英特尔投资Intel Capital
https://www.itjuzi.com/investevents/15536|2016.3.15||企业服务|北美洲|A轮|130万美元|NEXT Frontier CapitalK5 VenturesFlywheel VenturesKnight Foundation Enterprise Fund
https://www.itjuzi.com/investevents/15550|2016.3.15||金融|欧洲|战略投资|1.19亿英镑|投资方未透露
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/15525|2016.3.14||电子商务|北美洲|A轮|1050万美元|Khosla Ventures
https://www.itjuzi.com/investevents/15515|2016.3.14||教育|北美洲|A轮|2000万美元|University Venture FundEdenCapitalUSA Funds
https://www.itjuzi.com/investevents/15524|2016.3.14||电子商务|欧洲|B轮|1700万美元|投资方未透露
https://www.itjuzi.com/investevents/15469|2016.3.11||文化娱乐体育|北美洲|种子轮|850万美元|AITV - AccelerateIT Ventures,Translink Capital
https://www.itjuzi.com/investevents/15470|2016.3.11||本地生活|北美洲|种子轮|未透露|Riverside
https://www.itjuzi.com/investevents/15471|2016.3.11||电子商务|北美洲|A轮|340万美元|曼图资本Mandra CapitalPantera CapitalColbeck Capital Management
https://www.itjuzi.com/investevents/15472|2016.3.11||金融|北美洲|种子轮|200万美元|Two Sigma Ventures,Highland Capital Partners,Founder Collective
https://www.itjuzi.com/investevents/15473|2016.3.11||教育|北美洲|种子轮|230万美元|学而思/好未来Reach Capital
https://www.itjuzi.com/investevents/15456|2016.3.10||电子商务|亚洲|C轮|未透露|英特尔投资Intel CapitalAmadeus CapitalWestbridge CapitalAccion Frontier Inclusion Fund
https://www.itjuzi.com/investevents/15452|2016.3.10||企业服务|北美洲|D轮|4.3亿美元|联想控股,弘毅投资
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/15463|2016.3.10||电子商务|北美洲|C轮|3000万美元|大杨创世
https://www.itjuzi.com/investevents/15432|2016.3.9||本地生活|北美洲|A轮|400万美元|投资方未透露
https://www.itjuzi.com/investevents/15428|2016.3.9||金融|北美洲|A轮|360万美元|投资方未透露
https://www.itjuzi.com/investevents/15424|2016.3.9||企业服务|北美洲|A轮|750万美元|投资方未透露
https://www.itjuzi.com/investevents/15431|2016.3.9||企业服务|亚洲|A轮|260万美元|Jafco Ventures,Voyager Capital
https://www.itjuzi.com/investevents/15426|2016.3.9||游戏|亚洲|IPO上市后|11亿人民币|掌趣科技
https://www.itjuzi.com/investevents/15412|2016.3.8||文化娱乐体育|北美洲|战略投资|未透露|华人文化产业基金
https://www.itjuzi.com/investevents/15410|2016.3.8||工具软件|北美洲|B轮|1100万美元|投资方未透露
https://www.itjuzi.com/investevents/15407|2016.3.8||房产服务|欧洲|战略投资|1590万英镑|Octopus Investments,Silicon Valley Bank
https://www.itjuzi.com/investevents/15405|2016.3.8||旅游|欧洲|A轮|400万美元|投资方未透露
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/15409|2016.3.8||医疗健康|北美洲|B轮|未透露|投资方未透露
https://www.itjuzi.com/investevents/15385|2016.3.7||电子商务|非洲|战略投资|未透露|Goldman Sachs高盛(国外)
https://www.itjuzi.com/investevents/15380|2016.3.7||企业服务|亚洲|不明确|未透露|投资方未透露
https://www.itjuzi.com/investevents/15384|2016.3.7||电子商务|亚洲|A轮|未透露|投资方未透露
https://www.itjuzi.com/investevents/15374|2016.3.7||游戏|北美洲|A轮|317万美元|顺荣三七互娱
https://www.itjuzi.com/investevents/15246|2016.3.2||电子商务|北美洲|Pre-A轮|870万美元|投资方未透露
https://www.itjuzi.com/investevents/15250|2016.3.2||硬件|欧洲|A轮|5400万美元|投资方未透露
https://www.itjuzi.com/investevents/15282|2016.3.1||电子商务|亚洲|D轮|7500万美元|三井物产环球投资/三井创投MGI,Global Brain Corporation,World Innovation Lab,Globis Capital Partners
https://www.itjuzi.com/investevents/15232|2016.3.1||旅游|亚洲|种子轮|100万美元|Mangrove Capital Partners
https://www.itjuzi.com/investevents/15233|2016.3.1||医疗健康|北美洲|不明确|1700万美元|投资方未透露
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/15171|2016.2.26||房产服务|北美洲|种子轮|250万美元|Crosscut Ventures
https://www.itjuzi.com/investevents/15164|2016.2.26||广告营销|北美洲|B轮|2000万美元|Founders Fund
https://www.itjuzi.com/investevents/15170|2016.2.26||旅游|亚洲|战略投资|2.5亿美元|Naspers,腾讯
https://www.itjuzi.com/investevents/15148|2016.2.25||企业服务|北美洲|E轮|5000万美元|Rembrandt Venture Partners
https://www.itjuzi.com/investevents/15131|2016.2.24||旅游|北美洲|C轮|2610万美元|投资方未透露
https://www.itjuzi.com/investevents/15128|2016.2.24||广告营销|北美洲|C轮|1800万美元|Battery Ventures
https://www.itjuzi.com/investevents/15132|2016.2.24||教育|北美洲|B轮|1500万美元|投资方未透露
https://www.itjuzi.com/investevents/15092|2016.2.23||企业服务|欧洲|C轮|4000万美元|Goldman Sachs高盛(国外),Accel Partners,Salesforce,Sapphire Ventures
https://www.itjuzi.com/investevents/15021|2016.2.19||金融|北美洲|天使轮|200万美元|投资方未透露
https://www.itjuzi.com/investevents/15009|2016.2.18||工具软件|北美洲|C轮|4200万美元|投资方未透露
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/14998|2016.2.17||教育|北美洲|F轮-上市前|5200万美元|学而思/好未来
https://www.itjuzi.com/investevents/15002|2016.2.17||工具软件|亚洲|不明确|3000万美元|SoftBank capital软银海外
https://www.itjuzi.com/investevents/14997|2016.2.17||SNS社交网络|北美洲|C轮|5500万美元|Lightspeed Venture Partners美国光速
https://www.itjuzi.com/investevents/14981|2016.2.16||本地生活|大洋洲|B轮|179万美元|投资方未透露
https://www.itjuzi.com/investevents/14984|2016.2.16||旅游|欧洲|种子轮|64万美元|投资方未透露
https://www.itjuzi.com/investevents/14985|2016.2.16||房产服务|欧洲|天使轮|160万美元|投资方未透露
https://www.itjuzi.com/investevents/14982|2016.2.16||电子商务|北美洲|天使轮|1000万美元|Acton Capital Partners
https://www.itjuzi.com/investevents/14977|2016.2.16||电子商务|亚洲|F轮-上市前|2亿美元|安大略省教师退休基金Ontario Teachers
https://www.itjuzi.com/investevents/14966|2016.2.15||旅游|北美洲|不明确|600万美元|投资方未透露
https://www.itjuzi.com/investevents/14968|2016.2.15||教育|欧洲|B轮|500万美元|投资方未透露
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/14970|2016.2.15||汽车交通|北美洲|战略投资|2亿美元|投资方未透露
https://www.itjuzi.com/investevents/14924|2016.2.13||工具软件|北美洲|B轮|2200万美元|Verizon Ventures
https://www.itjuzi.com/investevents/14925|2016.2.13||电子商务|北美洲|IPO上市后|亿元及以上美元|阿里巴巴
https://www.itjuzi.com/investevents/14923|2016.2.13||医疗健康|北美洲|A轮|1700万美元|Mayfield Fund
https://www.itjuzi.com/investevents/14869|2016.2.11||企业服务|北美洲|B轮|4000万美元|Lumia Capital
https://www.itjuzi.com/investevents/14894|2016.2.11||房产服务|欧洲|C轮|6000万美元|Horizons Ventures维港投资,VY Capital
https://www.itjuzi.com/investevents/14871|2016.2.11||金融|北美洲|C轮|4500万美元|Silicon Valley Bank
https://www.itjuzi.com/investevents/14872|2016.2.11||电子商务|北美洲|B轮|1200万美元|Quest Venture Partners
https://www.itjuzi.com/investevents/14867|2016.2.11||硬件|北美洲|不明确|2500万美元|宏达电HTC
https://www.itjuzi.com/investevents/14873|2016.2.11||文化娱乐体育|亚洲|IPO上市后|1.95亿人民币|阿里巴巴
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/14867|2016.2.11||硬件|北美洲|不明确|2500万美元|宏达电HTC
https://www.itjuzi.com/investevents/14813|2016.2.6||医疗健康|北美洲|A轮|2000万美元|5AM Ventures
https://www.itjuzi.com/investevents/14812|2016.2.6||医疗健康|北美洲|A轮|250万美元|WPP集团,Arch Venture Partners,Felicis Ventures
https://www.itjuzi.com/investevents/14775|2016.2.5||企业服务|北美洲|D轮|3000万美元|Goldman Sachs高盛(国外)
https://www.itjuzi.com/investevents/14761|2016.2.4||广告营销|北美洲|B轮|2750万美元|NEA恩颐投资
https://www.itjuzi.com/investevents/14762|2016.2.4||SNS社交网络|北美洲|A轮|1005万美元|Kleiner Perkins Caufield & Byers,True Ventures,Lightspeed Venture Partners美国光速,Lowercase Capital
https://www.itjuzi.com/investevents/14738|2016.2.2||硬件|北美洲|C轮|7.94亿美元|阿里巴巴,富达Fidelity Investments,Google,高通Qualcomm Ventures,Morgan Stanley摩根士丹利,T. Rowe Price,Warner Bros.华纳兄弟,Wellington Management
https://www.itjuzi.com/investevents/14716|2016.2.2||本地生活|亚洲|A轮|1200万美元|Venturra Capital,500 Startups,Susquehanna Growth Equity（SIG）
https://www.itjuzi.com/investevents/14736|2016.2.2||医疗健康|北美洲|不明确|600万美元|投资方未透露
https://www.itjuzi.com/investevents/14715|2016.2.1||游戏|北美洲|天使轮|300万美元|投资方未透露
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/14702|2016.2.1||文化娱乐体育|北美洲|A轮|5000万美元|The Walt Disney Company迪士尼
https://www.itjuzi.com/investevents/14645|2016.1.29||游戏|欧洲|B轮|1000万美元|IDG资本,Lowercase Capital
https://www.itjuzi.com/investevents/14640|2016.1.29||企业服务|北美洲|天使轮|未透露|Notion Capital
https://www.itjuzi.com/investevents/14642|2016.1.29||企业服务|北美洲|C轮|7500万美元|Google Capital,Andreessen Horowitz
https://www.itjuzi.com/investevents/14643|2016.1.29||企业服务|欧洲|A轮|1000万美元|投资方未透露
https://www.itjuzi.com/investevents/14622|2016.1.28||电子商务|亚洲|A轮|200万美元|Venturra Capital,500 Startups,IMJ Investment Partners Pte. Ltd
https://www.itjuzi.com/investevents/14606|2016.1.27||教育|北美洲|C轮|4000万美元|Accel Partners,SoftTech VC
https://www.itjuzi.com/investevents/14591|2016.1.26||企业服务|北美洲|B轮|2200万美元|Nokia growth partners(海外投资),鸿海集团Foxconn/富士康
https://www.itjuzi.com/investevents/14592|2016.1.26||电子商务|北美洲|C轮|2000万美元|Accel Partners,Greycroft Partners,Aspect Ventures
https://www.itjuzi.com/investevents/14573|2016.1.25||金融|北美洲|B轮|1.5亿美元|Susa Ventures,Data Collective,Google Ventures,Kapor Capital
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/14574|2016.1.25||旅游|欧洲|A轮|1000万美元|Arbor Ventures乔木创投,Pitango Venture Capital
