Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/4861|2014.5.1|YAMI丫咪|本地生活|北京|天使轮|400万人民币|起源资本
https://www.itjuzi.com/investevents/7001|2014.5.1|JDF金典工场|文化娱乐体育|上海|A轮|2000万人民币|华策影视
https://www.itjuzi.com/investevents/8029|2014.5.1|百一测评|企业服务|北京|天使轮|未透露|投资方未透露
https://www.itjuzi.com/investevents/11290|2014.5.1|Sleepace舒派-迈迪加科技|医疗健康|广东|天使轮|数百万人民币|信天创投
https://www.itjuzi.com/investevents/3021|2014.5.1|每日瑜伽|医疗健康|陕西|天使轮|1000万人民币|JJ比赛(竞技创投)
https://www.itjuzi.com/investevents/3119|2014.5.1|清林华成|企业服务|北京|A轮|1000万人民币|北京厚持投资
https://www.itjuzi.com/investevents/3232|2014.5.1|WeComics微漫网络|文化娱乐体育|上海|A轮|150万美元|北极光创投
https://www.itjuzi.com/investevents/3233|2014.5.1|叮咚小区|本地生活|上海|天使轮|亿元及以上人民币|投资方未透露
https://www.itjuzi.com/investevents/3308|2014.5.1|云巴|移动互联网|广东|天使轮|500万人民币|投资方未透露
https://www.itjuzi.com/investevents/3313|2014.5.1|蜜芽宝贝|电子商务|北京|B轮|2000万美元|红杉资本中国,真格基金,险峰长青(险峰华兴)
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/3337|2014.5.1|亚太电信|企业服务|台湾|IPO上市后|24.34亿新台币|鸿海集团Foxconn/富士康
https://www.itjuzi.com/investevents/3358|2014.5.1|易商|电子商务|上海|B轮|6.5亿美元|荷兰汇盈资产管理公司
https://www.itjuzi.com/investevents/3666|2014.5.1|为爱网络iWelove|SNS社交网络|上海|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/3668|2014.5.1|有间房|房产服务|陕西|天使轮|数百万人民币|PreAngel
https://www.itjuzi.com/investevents/3685|2014.5.1|深圳比巴科技|硬件|广东|天使轮|数百万人民币|联创策源,PreAngel
https://www.itjuzi.com/investevents/3700|2014.5.1|野糖网|电子商务|北京|天使轮|数百万人民币|IDG资本
https://www.itjuzi.com/investevents/3729|2014.5.1|加丁科技|医疗健康|北京|天使轮|数百万人民币|联想之星
https://www.itjuzi.com/investevents/3820|2014.5.1|君海游戏|游戏|广东|天使轮|数千万人民币|投资方未透露
https://www.itjuzi.com/investevents/4351|2014.5.1|看车网|汽车交通|北京|A轮|数百万美元|投资方未透露
https://www.itjuzi.com/investevents/4420|2014.5.1|华映星球|文化娱乐体育|北京|A轮|未透露|早鸟基金
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
