Url|标题|时间|介绍|公司|所属行业|子行业|地区|轮次|融资额|股权占比|投资方
https://www.itjuzi.com/investevents/10435|提供医生上门出诊服务的DispatchHealth获360万美元天使轮融资|2015.8.17|DispatchHealth是移动O2O医疗提供商，为用户提供医生上门出诊服务。近日DispatchHealth获360万美元天使轮融资，资金从EMP控股等投资者手中募集。|DispatchHealth|医疗健康|寻医问诊|北美洲·美国|天使轮|360万美元|未透露|
https://www.itjuzi.com/investevents/10436|专注明星穿衣的导购电商WhoWhatWear获得800万美元B轮投资|2015.8.17|WhoWhatWear是一家位于美国的时装电商，通过挖掘明星的穿衣风尚，给读者提供时尚建议及购买渠道，价格区间横跨几十到数千美元。近日WhoWhatWear（WWW）母公司CliqueMedia宣布获得800万美元的B轮融资，投资者包括Greycroft、LererHippeauVentures、AdvancitCapital、MesaVentures和DoubleMPartners。|WhoWhatWear|电子商务|服装服饰|北美洲·美国|B轮|800万美元|未透露|AdvancitCapital,Amazon亚马逊,GreycroftPartners
https://www.itjuzi.com/investevents/10426|移动游戏开发商Rumble获得1000万美元投资|2015.8.17|Rumble成立于2011年，是一家移动游戏研发商，已经开发的产品包括：《王者之路》。该公司日前获得乐逗游戏母公司深圳创梦天地1000万美元投资。|Rumble|游戏|手机游戏|北美洲·美国|C轮|1000万美元|未透露|
https://www.itjuzi.com/investevents/10417|兴趣社区Massdrop获得4000万美元B轮投资|2015.8.16|Massdrop成立于2012年7月，是一个集合各种兴趣爱好的社交社区，涵盖领域从音响、电子到缝剪、烹饪等各个方面，用户同样可以在网上直接购买自己心仪的产品或服务。目前，Massdrop获得4000万美元B轮投资，AugustCapital领投、CowboyVentures、FirstRound、MayfieldFund投资。|Massdrop|SNS社交网络|兴趣社区|北美洲·美国|B轮|4000万美元|未透露|AugustCapital,FirstRoundCapital,MayfieldFund
https://www.itjuzi.com/investevents/10416|东南亚打车应用GrabTaxi获得中投公司4亿美元战略投资|2015.8.16|GrabTaxi成立于2011年，是一家来自新加坡的打车软件服务商，目前主要在新加坡、马来西亚、菲律宾、泰国以及越南等东南亚市场提供服务。目前，GrabTaxi获得中投公司4亿美元战略投资。|GrabTaxi|汽车交通|交通出行|亚洲·新加坡|战略投资|4亿美元|未透露|中投公司
https://www.itjuzi.com/investevents/10394|印尼陌生人社交神器Yogrt获300万美金A轮投资|2015.8.14|Yogrt是印度尼西亚版的陌生人社交神器，用破冰游戏和趣味测验作为用户的交互方式的切入口，让用户更好的了解朋友。目前，Yogrt获300万美金A轮投资，LinearVenture投资。|Yogrt|SNS社交网络|陌生人交友|亚洲·印度尼西亚|A轮|300万美元|未透露|线性资本LinearVenture,德沃创业/德沃基金
https://www.itjuzi.com/investevents/10402|母婴电商网站Honest获得1亿美元D轮投资|2015.8.14|Honest创立于2011年，是一家电商平台，主要以销售婴儿护理产品为主，如纸尿布、洗浴及护肤产品。目前，Honest获得1亿美元D轮投资，具体投资机构未透露。GladeBrookCapitalPartners领投，AllianceBernstein、FidelityManagementandResearchCompany、InstitutionalVenturePartners(IVP)、WellingtonManagement|Honest|电子商务|母婴玩具|北美洲·美国|D轮|1亿美元|未透露|InstitutionalVenturePartners,WellingtonManagement
https://www.itjuzi.com/investevents/10395|香水“订阅+分享”平台Scentbird获100万美金种子投资|2015.8.14|Scentbird是一个香水订阅付费的电商平台，用户在选择香水前，可以通过做一份小quiz来获得关于自己适合什么类型香水的专业建议。目前，Scentbird获100万美金种子投资，500Startups、DominionCapital、EmmettShear、TMTInvestments、YCombinator等。|Scentbird|电子商务|化妆品|北美洲·美国|种子轮|100万美元|未透露|500Startups,TMTInvestments,YCombinator-YC
https://www.itjuzi.com/investevents/10398|人工智能个人助手Genee获得150万美元天使投资|2015.8.14|Genee是一个人工智能个人助手，在允许访问已有的日历和邮件App后，所有人都可以使用Genee。你只需要将Genee复制到邮件上，就像你有了一个私人助理然后让Genee全权负责。目前，Genee获得150万美元天使投资，KatrinaGarnett、StreamlinedVentures、UJVentures投资。|Genee|工具软件|实用工具|北美洲·美国|天使轮|150万美元|未透露|StreamlinedVentures
https://www.itjuzi.com/investevents/10381|云节能系统提供商Stem获得4500万美元C轮融资|2015.8.13|Stem为客户提供基于云服务的节能解决方案，系统利用实时数据、云预测分析、使用状态、增值服务和工具帮助企业优化能源使用和稳定电网。本轮投资由RWESupply&Trading领投，RWESupply&Trading的母公司RWE是欧洲最大的电气公司之一。|Stem|企业服务|其他企业服务|北美洲·美国|C轮|4500万美元|未透露|
https://www.itjuzi.com/investevents/10373|数据管理技术公司Talena获得1200万美元A轮投资|2015.8.13|Talena是一个大数据时代的数据管理技术开发公司，着手构建下一代数据管理平台，支持多种大数据架构，在程序的整个生命周期优化数据的可用性，改变目前的大数据和存储行业。近日Talena获得1200万美元A轮投资，CanaanPartners、IntelCapital、ONSETVentures联合投资。|Talena|企业服务|企业IT服务|北美洲·|A轮|1200万美元|未透露|CanaanPartners,英特尔投资IntelCapital
https://www.itjuzi.com/investevents/10378|室内定位sensewhere获得腾讯战略投资|2015.8.13|sensewhere是一个室内定位企业，通过Wi-Fi或者蓝牙信号，可以提供GPS卫星定位所无法精确定位的位置数据，此外利用众包模式，能够实现低成本高效的定位。目前，sensewhere获得腾讯战略投资。|SenseWhere|企业服务|行业解决方案|北美洲·美国|A轮|数百万美元|未透露|腾讯
https://www.itjuzi.com/investevents/10371|会议服务应用DoubleDutch获4500万美元E轮融资|2015.8.13|DoubleDutch成立于2011年1月，是一家企业会议服务应用开发商，公司和展会机构可以利用它来在移动端发布会议日程，管理参会者的签到并和他们产生更多互动。近日DoubleDutch获4500万美元E轮融资，KKR领投，BessemerVenturePartners、EnspireCapital、IndexVentures跟投。|DoubleDutch|企业服务|行业解决方案|北美洲·美国|E轮|4500万美元|未透露|BessemerVenturePartners,天使汇
https://www.itjuzi.com/investevents/10380|美国按摩O2O公司Soothe获得1060万美元A轮投资|2015.8.13|Soothe是美国一家上门按摩O2O公司，向用户提供1小时快速预约按摩服务。目前，Soothe获得1060万美元A轮投资，具体投资机构未透露。|Soothe|本地生活|生活综合服务|北美洲·美国|A轮|1060万美元|未透露|
https://www.itjuzi.com/investevents/10369|在线电子超市BigBasket获5000万美元C轮融资|2015.8.13|Bigbasket.com成立于2011年10月，是印度一家在线电子超市，旨在方便人们日常的购物需求。近日Bigbasket获5000万美元新一轮投资，由BessemerVenture领投，此次融资用于在印度本土的扩张。|Bigbasket.com|本地生活|生活综合服务|亚洲·印度|C轮|5000万美元|未透露|BessemerVenturePartners
