融资方,投资机构,融资金额,所属行业,宣布时间,Url

奇境森林科技,集素资本,N/A,互联网信息服务,2016-03-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29308.shtml
打火石科技,N/A,N/A,应用软件服务,2016-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29307.shtml
云聚汇数码,N/A,N/A,互联网信息服务,2016-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29305.shtml
秘密花园 ,N/A,N/A,应用软件服务,2016-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29302.shtml
迈淩医疗,礼来亚洲,N/A,其他医疗设备及器械制造,2016-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29301.shtml
极米科技,N/A,N/A,家用影视设备制造,2016-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29299.shtml
旺翔传媒,APUS基金,"1,001.00万元",广告业,2016-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29298.shtml
赛点体育,N/A,"5,000.00万元",互联网信息服务,2016-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29297.shtml
双江股份,名朴投资,210.00万元,机动车燃料零售,2016-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29295.shtml
慧理财,联想乐基金,"2,000.00万元",其他未列明的金融活动,2016-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29291.shtml
中铁物流,N/A,"3,500.00万元",铁路货物运输,2016-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29277.shtml
懒熊体育,华人文化投资基金/九合创投,"1,200.00万元",互联网信息服务,2016-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29276.shtml
博信股份,康盛投资,N/A,投资与资产管理,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29294.shtml
铱云云计算,华创资本/深创投,"1,000.00万美元",应用软件服务,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29288.shtml
荣浪信息,Sky View,N/A,互联网信息服务,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29285.shtml
傲天汇金,民航投资/民航投资,"93,300.00万元",互联网信息服务,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29281.shtml
拉勾网,东方弘道/启明创投,"22,000.00万元",互联网信息服务,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29280.shtml
上海逸橙,光速安振中国/凯辉私募基金,N/A,互联网信息服务,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29274.shtml
两点十分,峰瑞资本,N/A,音像制作,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29272.shtml
活力天汇,民航投资/民航投资,"93,300.00万元",互联网信息服务,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29263.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

蓝思种业,东方成长创投/中科招商集团,"2,700.00万元",牲畜的饲养,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29255.shtml
圆融科技,中科招商集团/康橙投资/志道投资/中汇富瑞/宁波国鑫投资,"6,318.00万元",集成电路制造,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29253.shtml
牛电科技,N/A,"3,000.00万美元",其他专业技术服务,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29247.shtml
道客云,风和投资/光速安振中国,"1,000.00万美元",其他计算机服务,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29245.shtml
易开业,鸿凯资本/博将资本,"1,500.00万元",知识产权服务,2016-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29244.shtml
盖雅工场,经纬创投,N/A,应用软件服务,2016-03-22,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29304.shtml
极验,红杉中国/IDG资本,"2,400.00万美元",应用软件服务,2016-03-22,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29267.shtml
当虹科技,国海创新资本,N/A,计算机系统服务,2016-03-22,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29248.shtml
不存在科技,真格基金,400.00万元,其他电子设备制造,2016-03-22,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29240.shtml
真旅网,毅达资本/永宣创投,"60,000.00万元",互联网信息服务,2016-03-22,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29233.shtml
小满科技,达晨创投,N/A,应用软件服务,2016-03-22,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29227.shtml
云游互联,复远投资,"1,500.00万元",互联网信息服务,2016-03-22,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29215.shtml
悦美网,N/A,N/A,互联网信息服务,2016-03-22,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29213.shtml
狮之吼,N/A,N/A,应用软件服务,2016-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29300.shtml
自由人,N/A,N/A,广告业,2016-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29271.shtml
会小二,DCM/IDG资本,N/A,互联网信息服务,2016-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29241.shtml
小崔时代,经纬中国,"1,000.00万元",其他未列明的金融活动,2016-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29224.shtml
众筹客,小牛投资,N/A,互联网信息服务,2016-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29211.shtml
九爱科技,N/A,N/A,移动通信及终端设备制造,2016-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29210.shtml
