标题,售价,演出时间
极米科技,N/A,极米科技,---
旺翔传媒,APUS基金,N/A,---
赛点体育,N/A,N/A,---
双江股份,名朴投资,家用影视设备制造,---
慧理财,联想乐基金,2016-03-24,---
中铁物流,N/A,"
	    						详情
	    					",---
懒熊体育,华人文化投资基金/九合创投,旺翔传媒,---
博信股份,康盛投资,APUS基金,---
铱云云计算,华创资本/深创投,"1,001.00万元",---
荣浪信息,Sky View,广告业,---
傲天汇金,民航投资/民航投资,2016-03-24,---
拉勾网,东方弘道/启明创投,"
	    						详情
	    					",---
上海逸橙,光速安振中国/凯辉私募基金,赛点体育,---
两点十分,峰瑞资本,N/A,---
活力天汇,民航投资/民航投资,"5,000.00万元",---
蓝思种业,东方成长创投/中科招商集团,互联网信息服务,---
圆融科技,中科招商集团/康橙投资/志道投资/中汇富瑞/宁波国鑫投资,2016-03-24,---
牛电科技,N/A,"
	    						详情
	    					",---
道客云,风和投资/光速安振中国,双江股份,---
易开业,鸿凯资本/博将资本,名朴投资,---
