融资方,投资机构,融资金额,轮次,投资时间,Url

元宝铺,腾讯,10000万人民币,其他,2016-03-25,http://if.pedaily.cn/invest/50006588.shtml
大特保,开发金控CDIB Venture Capital，联创策源，复星昆仲,2000万美元,B轮,2016-03-25,http://if.pedaily.cn/invest/50006589.shtml
益民互融,富汇金融,N/A,A轮,2016-03-25,http://if.pedaily.cn/invest/50006590.shtml
慧理财,联想乐基金,2000万人民币,天使投资,2016-03-24,http://if.pedaily.cn/invest/50006586.shtml
网融天下,非公开投资机构,N/A,C轮,2016-03-24,http://if.pedaily.cn/invest/50006587.shtml
众筹客,小牛资本,N/A,A轮,2016-03-22,http://if.pedaily.cn/invest/50006579.shtml
慧择保险,万融资本，创东方投资，考拉产业基金(拉卡拉),20000万人民币,B轮,2016-03-21,http://if.pedaily.cn/invest/50006577.shtml
91征信,非公开投资机构,N/A,pre-A轮,2016-03-21,http://if.pedaily.cn/invest/50006582.shtml
奇子投资,中科招商,N/A,A轮,2016-03-21,http://if.pedaily.cn/invest/50006584.shtml
紫晶通财基金,基打新基金,15000万美元,B轮,2016-03-18,http://if.pedaily.cn/invest/50006585.shtml
农发贷,诺普信/王俊,9000万人民币,pre-A轮,2016-03-18,http://if.pedaily.cn/invest/50006583.shtml
运金所,玖创资本，险峰长青(险峰华兴)，唯猎资本,1000万人民币,天使投资,2016-03-17,http://if.pedaily.cn/invest/50006578.shtml
口袋记账,深圳启赋资本，丰厚资本,1600万人民币,pre-A轮,2016-03-17,http://if.pedaily.cn/invest/50006576.shtml
保险极客,复星昆仲，联想之星，博思投资,N/A,A轮,2016-03-15,http://if.pedaily.cn/invest/50006581.shtml
人企贷,上海荣焘投资管理有限公司,2000万人民币,A轮,2016-03-14,http://if.pedaily.cn/invest/50006574.shtml
财富函数,招银国际,N/A,并购,2016-03-08,http://if.pedaily.cn/invest/50006580.shtml
国融互联网金融,未透露,500万人民币,天使投资,2016-03-08,http://if.pedaily.cn/invest/50006572.shtml
e葱金融,诺辉岭南,1000万人民币,天使投资,2016-03-08,http://if.pedaily.cn/invest/50006573.shtml
时间价值,汇川技术控股股东、前海安星资产管理有限公司,2000万人民币,A轮,2016-03-07,http://if.pedaily.cn/invest/50006571.shtml
健一会,未公开,N/A,天使投资,2016-03-05,http://if.pedaily.cn/invest/50006570.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

超级生活,天使投资人王刚,N/A,天使投资,2016-02-26,http://if.pedaily.cn/invest/50006575.shtml
脉保,PreAngel,N/A,天使投资,2016-02-25,http://if.pedaily.cn/invest/50006564.shtml
高搜易理财,海尔投资，创东方投资,8000万人民币,A轮,2016-02-24,http://if.pedaily.cn/invest/50006566.shtml
小狗钱钱,中甬经贸发展（上海）中心,8000万人民币,A+,2016-02-23,http://if.pedaily.cn/invest/50006565.shtml
