小区,区域1,区域2
兰馨公寓（卢湾）,黄浦,淮海中路
城市一品苑,黄浦,淮海中路
曲园,黄浦,淮海中路
陕西南路271弄,黄浦,淮海中路
思南公馆,黄浦,淮海中路
花园坊,黄浦,淮海中路
茂名大楼,黄浦,淮海中路
金鹿大楼,黄浦,淮海中路
金谷邨,黄浦,淮海中路
香山丽舍（公寓）,黄浦,淮海中路
明德里,黄浦,淮海中路
长乐村,黄浦,淮海中路
茂名南路159弄,黄浦,淮海中路
瑞雪大楼,黄浦,淮海中路
雁荡大厦,黄浦,淮海中路
复兴坊,黄浦,淮海中路
五金新邨,黄浦,淮海中路
渔阳里,黄浦,淮海中路
长乐路376弄,黄浦,淮海中路
南昌路166弄,黄浦,淮海中路
步高里,黄浦,淮海中路
瑞德公寓,黄浦,淮海中路
建国西路158弄,黄浦,淮海中路
淮海中路668弄,黄浦,淮海中路
皋兰路25弄,黄浦,淮海中路
绍兴路76弄,黄浦,淮海中路
凯德茂名公馆,黄浦,淮海中路
陕南邨,黄浦,淮海中路
茂名大厦,黄浦,淮海中路
巨鹿路244弄,黄浦,淮海中路
淮海中路611弄,黄浦,淮海中路
永嘉路19弄,黄浦,淮海中路
重庆南路26弄,黄浦,淮海中路
绍兴路17弄,黄浦,淮海中路
建德小区,黄浦,淮海中路
长乐路366号,黄浦,淮海中路
瑞金二路48弄,黄浦,淮海中路
延安中路527号,黄浦,淮海中路
瑞金二路200弄,黄浦,淮海中路
绍兴路52号,黄浦,淮海中路
巨鹿路367号,黄浦,淮海中路
香山路1弄,黄浦,淮海中路
重庆南路30弄,黄浦,淮海中路
卜邻公寓,黄浦,淮海中路
荣业里,黄浦,淮海中路
建国中路26号,黄浦,淮海中路
兴安路96弄,黄浦,淮海中路
陕西南路25弄,黄浦,淮海中路
长乐路169弄,黄浦,淮海中路
瑞金一路126弄,黄浦,淮海中路
思南路26弄,黄浦,淮海中路
紫勋雍邸,黄浦,淮海中路
永嘉路39弄,黄浦,淮海中路
永嘉第一小区,黄浦,淮海中路
重庆南路298弄,黄浦,淮海中路
瑞金二路153号,黄浦,淮海中路
淮海坊,黄浦,淮海中路
南昌花苑,黄浦,淮海中路
永嘉路1弄,黄浦,淮海中路
瑞金二路67号,黄浦,淮海中路
巨鹿路268号,黄浦,淮海中路
建国西路44号,黄浦,淮海中路
淮海中路670弄,黄浦,淮海中路
绍兴路58号,黄浦,淮海中路
南昌路153号,黄浦,淮海中路
茂名南路136号,黄浦,淮海中路
建国西路76号,黄浦,淮海中路
和合坊,黄浦,淮海中路
香山路15号,黄浦,淮海中路
兴安路139号,黄浦,淮海中路
复兴中路565弄,黄浦,淮海中路
绍兴路25弄,黄浦,淮海中路
陕西南路31号,黄浦,淮海中路
茂名南路68号,黄浦,淮海中路
重庆南路24号,黄浦,淮海中路
瑞金二路204号,黄浦,淮海中路
茂名南路126号,黄浦,淮海中路
香山丽舍（别墅）,黄浦,淮海中路
南昌路154号,黄浦,淮海中路
皋兰路21弄,黄浦,淮海中路
人民坊,黄浦,淮海中路
海佳大厦,黄浦,淮海中路
南昌路196弄,黄浦,淮海中路
淮海中路497号,黄浦,淮海中路
南昌路60号,黄浦,淮海中路
建国西路66弄,黄浦,淮海中路
南昌路53号新里,黄浦,淮海中路
绍兴路10号,黄浦,淮海中路
元昌里,黄浦,淮海中路
重庆南路198弄,黄浦,淮海中路
光明村,黄浦,淮海中路
乐安坊,黄浦,淮海中路
惠安坊,黄浦,淮海中路
南昌路102弄,黄浦,淮海中路
康绥公寓,黄浦,淮海中路
香山公寓,黄浦,淮海中路
培文公寓,黄浦,淮海中路
永业大楼,黄浦,淮海中路
巨鹿路312号,黄浦,淮海中路
巨鹿路314号,黄浦,淮海中路
南昌路148弄,黄浦,淮海中路
绍兴路56号,黄浦,淮海中路
瑞金二路46号,黄浦,淮海中路
米丘林公寓,黄浦,淮海中路
巨鹿路272弄,黄浦,淮海中路
陕西南路269号,黄浦,淮海中路
建德路2号,黄浦,淮海中路
陕西南路271弄23支弄,黄浦,淮海中路
长乐路434弄,黄浦,淮海中路
南昌路212弄,黄浦,淮海中路
进贤路176号,黄浦,淮海中路
香山路6号,黄浦,淮海中路
瑞金二路69弄,黄浦,淮海中路
南昌路136弄,黄浦,淮海中路
绍兴路36弄,黄浦,淮海中路
巨鹿路254号,黄浦,淮海中路
长乐路121号,黄浦,淮海中路
南昌路232弄,黄浦,淮海中路
兴安路163弄,黄浦,淮海中路
进贤路202弄,黄浦,淮海中路
思南路38号,黄浦,淮海中路
淮海中路660号,黄浦,淮海中路
茂名南路133弄,黄浦,淮海中路
建国西路146号,黄浦,淮海中路
永嘉路21弄,黄浦,淮海中路
巨鹿路425弄,黄浦,淮海中路
建国西路62号,黄浦,淮海中路
蒙缇公寓,黄浦,淮海中路
瑞金公寓,黄浦,淮海中路
泰山公寓,黄浦,淮海中路
南昌路160弄,黄浦,淮海中路
巨鹿路191号,黄浦,淮海中路
淮海中路618弄,黄浦,淮海中路
建国西路50号,黄浦,淮海中路
南昌路280弄,黄浦,淮海中路
淮海中路899弄,黄浦,淮海中路
南昌路178弄,黄浦,淮海中路
瑞金一路173号,黄浦,淮海中路
茂名南路1号,黄浦,淮海中路
老重庆中路66号,黄浦,淮海中路
南昌大楼,黄浦,淮海中路
茂名南路153号,黄浦,淮海中路
长乐路382号,黄浦,淮海中路
瑞金二路52弄,黄浦,淮海中路
淮海中路512号,黄浦,淮海中路
巨鹿路304号,黄浦,淮海中路
淮海中路855弄,黄浦,淮海中路
南昌路127弄,黄浦,淮海中路
永嘉路15弄,黄浦,淮海中路
成都南路132弄,黄浦,淮海中路
香山路30号,黄浦,淮海中路
长乐路47号,黄浦,淮海中路
巨鹿路391弄,黄浦,淮海中路
进贤路191号,黄浦,淮海中路
思南路21弄,黄浦,淮海中路
巨鹿路347弄,黄浦,淮海中路
南昌路183号,黄浦,淮海中路
南昌路310弄,黄浦,淮海中路
南昌路151弄,黄浦,淮海中路
瑞金一路21弄,黄浦,淮海中路
南昌路260号,黄浦,淮海中路
长乐路61号,黄浦,淮海中路
南昌路274号,黄浦,淮海中路
雁荡路74号,黄浦,淮海中路
淮海中路697弄,黄浦,淮海中路
瑞金一路148弄,黄浦,淮海中路
瑞金二路163号,黄浦,淮海中路
瑞金二路271弄,黄浦,淮海中路
长乐路93弄,黄浦,淮海中路
陕西南路83弄,黄浦,淮海中路
陕西南路175号,黄浦,淮海中路
巨鹿路374弄,黄浦,淮海中路
绍兴路35号,黄浦,淮海中路
建国西路196号,黄浦,淮海中路
长乐路91号,黄浦,淮海中路
陕西南路167号,黄浦,淮海中路
高福里,黄浦,淮海中路
南昌路103号,黄浦,淮海中路
香山路3号,黄浦,淮海中路
长乐路460弄,黄浦,淮海中路
南昌路74弄,黄浦,淮海中路
南昌路163号,黄浦,淮海中路
长乐路43弄,黄浦,淮海中路
绍兴路96弄,黄浦,淮海中路
淮海巷,黄浦,淮海中路
爱麦新邨,黄浦,淮海中路
进贤路238号,黄浦,淮海中路
大德邨,黄浦,淮海中路
南昌路38号,黄浦,淮海中路
雁荡路55弄,黄浦,淮海中路
淮海中路637弄,黄浦,淮海中路
思南路68号,黄浦,淮海中路
兴安路141弄,黄浦,淮海中路
陕西南路177号,黄浦,淮海中路
淮海中路584弄,黄浦,淮海中路
柏林公寓,黄浦,淮海中路
建国西路130弄,黄浦,淮海中路
长乐路237号,黄浦,淮海中路
淮海中路601号,黄浦,淮海中路
瑞金二路70弄,黄浦,淮海中路
香山路16号,黄浦,淮海中路
巨籁村,黄浦,淮海中路
复兴中路616弄,黄浦,淮海中路
